id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
1250,2007-02-16,110000000,228738393,149811046.51162788,167953056.9733191,2007,6.88
1251,2006-12-19,19000000,68673228,27180152.671755724,48005298.12166489,2006,6.55
1257,2007-02-02,0,69485490,0.0,51020295.752401285,2007,6.88
1259,2006-12-25,15000000,49469904,21458015.26717557,34581416.35005336,2006,6.55
1262,2006-09-09,30000000,53653224,42916030.53435114,37505722.219850585,2006,6.55
1265,2007-02-16,60000000,137587063,81715116.27906977,101024439.00106725,2007,6.88
1266,2008-04-10,20000000,65569869,26100278.55153203,50244574.110992536,2008,7.18
1268,2007-03-22,25000000,229736344,34047965.116279066,168685810.7491996,2007,6.88
1271,2006-12-09,65000000,422610419,92984732.82442749,295421370.80576307,2006,6.55
1272,2007-04-05,50000000,32017803,68095930.23255813,23509336.674493067,2007,6.88
1273,2007-03-23,34000000,95608995,46305232.55813953,70201695.36819638,2007,6.88
1282,2001-01-18,0,0,0.0,0.0,2001,5.66
1359,2000-04-13,7000000,34266564,12168831.16883117,19711502.663820706,2000,5.39
1360,2002-08-29,12000000,56298474,19352839.931153186,34908658.905016005,2002,5.81
1365,2001-11-11,4000000,44909486,6621908.12720848,27127821.852721456,2001,5.66
1366,1976-11-21,1000000,117235147,4399061.03286385,26650038.75240128,1976,2.13
1368,1982-10-22,15000000,125212904,47806122.44897959,39287720.14514408,1982,2.94
1369,1985-05-21,44000000,300400432,116135211.26760563,113812330.16008538,1985,3.55
1370,1988-05-24,63000000,189015611,143627737.22627735,82908661.81536822,1988,4.11
1372,2006-12-07,100000000,170877916,143053435.1145038,119450410.86446105,2006,6.55
1378,2006-05-20,2000000,5179037,2861068.7022900763,3620351.371398079,2006,6.55
1381,2006-09-06,35000000,15304890,50068702.29007634,10698722.465314835,2006,6.55
1382,2005-06-17,0,0,0.0,0.0,2005,6.41
1389,1998-06-26,48000000,77745568,95897654.58422174,38914270.429028824,1998,4.69
1402,2006-12-14,55000000,307077295,78679389.31297709,214659154.98932764,2006,6.55
1408,1995-12-22,98000000,10017322,211094252.8735632,4650517.684098186,1995,4.35
1412,1989-08-18,1200000,0,2832241.8136020144,0.0,1989,3.97
1415,2003-09-05,5000000,742898,7769485.903814261,478086.9733191036,2003,6.03
1422,2006-10-05,90000000,289847354,128748091.60305344,202614745.85912487,2006,6.55
1424,2004-07-22,0,0,0.0,0.0,2004,6.21
1427,2006-09-13,50000000,132180323,71526717.5572519,92399265.27748133,2006,6.55
1428,2003-09-11,29000000,98185582,45063018.24212271,63186665.89754537,2003,6.03
1429,2002-12-16,15000000,13060843,24191049.91394148,8098559.0,2002,5.81
1430,2002-10-09,4000000,35564473,6450946.643717728,22052250.60085379,2002,5.81
1435,2003-10-19,218,1162014,338.7495854063018,747806.2347918892,2003,6.03
1439,1999-12-16,75000000,113996937,138336614.17322832,61804102.45037354,1999,5.08
1440,2006-10-06,26000000,14821658,37193893.129770994,10360924.215581644,2006,6.55
1443,1999-04-21,6000000,10409377,11066929.133858267,5643504.286019211,1999,5.08
1452,2006-06-28,270000000,391081192,386244274.8091603,273381196.1152615,2006,6.55
1487,2004-04-02,66000000,99318987,99584541.06280193,65824003.12379937,2004,6.21
1491,2006-08-18,40000000,86915017,57221374.04580153,60757028.95944504,2006,6.55
1493,2000-12-14,45000000,212000000,78228200.37105751,121950907.15048026,2000,5.39
1495,2005-05-03,130000000,211643158,190031201.24804989,144784700.40341517,2005,6.41
1497,1991-03-22,25000000,78000000,55641330.16627078,35045891.141942374,1991,4.21
1499,1993-03-17,21000000,42000000,47528985.507246375,18557097.11846318,1993,4.14
1523,2006-09-01,6000000,48027970,8583206.106870228,33573447.545357525,2006,6.55
1535,2001-11-18,92000000,143049560,152303886.92579502,86409872.95624334,2001,5.66
1537,2002-04-07,45000000,94935764,72573149.74182445,58866252.81109925,2002,5.81
1538,2004-08-04,65000000,217764291,98075684.3800322,144324039.17929563,2004,6.21
1542,1999-02-19,10000000,12827813,18444881.889763776,6954673.430096052,1999,5.08
1544,2005-02-01,0,2455831,0.0,1680029.5314834581,2005,6.41
1546,2005-01-23,0,1919197,0.0,1312919.1856990398,2005,6.41
1547,1987-07-31,8500000,32222567,20369565.217391305,13446129.879402349,1987,3.91
1548,2001-07-20,7000000,0,11588339.22261484,0.0,2001,5.66
1550,2003-01-19,300000,0,466169.1542288556,0.0,2003,6.03
1551,1990-08-09,26000000,61489265,57593380.6146572,27758761.040554967,1990,4.23
1562,2007-04-26,15000000,64238440,20428779.06976744,47167605.89114194,2007,6.88
1571,2007-06-20,110000000,383531464,149811046.51162788,281611149.660619,2007,6.88
1572,1995-05-19,90000000,366101666,193862068.96551722,169961819.32764143,1995,4.35
1573,1990-07-02,70000000,240031094,155059101.6548463,108359821.5176094,1990,4.23
