id,budget,revenue,release_date,adjusted_revenue,year,cost_per_ticket,adjusted_budget,num_of_ticket_sold
10771,60000000,104391623,2002-09-27,168356197.5060241,2002,5.81,96764199.65576592,17967577.108433735
10773,0,0,2005-09-09,0.0,2005,6.41,0.0,0.0
10781,16000000,51764406,2006-10-06,74050760.94961832,2006,6.55,22888549.61832061,7902962.748091604
10783,65000000,0,2000-10-27,0.0,2000,5.39,112996289.42486085,0.0
10786,5000000,0,1976-03-11,0.0,1976,2.13,21995305.16431925,0.0
10806,35000000,0,1997-09-10,0.0,1997,4.59,71448801.74291939,0.0
10822,4600000,0,2007-05-18,0.0,2007,6.88,6264825.5813953485,0.0
10833,10000000,0,2001-03-23,0.0,2001,5.66,16554770.318021199,0.0
10844,0,0,2006-10-12,0.0,2006,6.55,0.0,0.0
10885,0,0,2008-03-21,0.0,2008,7.18,0.0,0.0
10913,0,0,2005-01-22,0.0,2005,6.41,0.0,0.0
10914,0,0,2007-09-11,0.0,2007,6.88,0.0,0.0
10929,22000000,8564586,2003-03-14,13308486.039800992,2003,6.03,34185737.97678275,1420329.3532338308
10934,18000000,58878723,2003-04-30,91491481.67661689,2003,6.03,27970149.253731336,9764299.004975123
10947,4200000,0,2006-01-20,0.0,2006,6.55,6008244.27480916,0.0
10955,30000000,0,2002-09-02,0.0,2002,5.81,48382099.82788296,0.0
10970,0,0,1976-06-17,0.0,1976,2.13,0.0,0.0
10981,0,0,2003-09-09,0.0,2003,6.03,0.0,0.0
10984,10000000,16300000,2001-02-01,26984275.618374556,2001,5.66,16554770.318021199,2879858.657243816
10985,13000000,31167388,2002-05-10,50264789.253012046,2002,5.81,20965576.592082616,5364438.554216868
10994,0,0,2002-10-11,0.0,2002,5.81,0.0,0.0
11004,35000000,0,2000-02-22,0.0,2000,5.39,60844155.84415584,0.0
11011,40000000,0,1994-12-19,0.0,1994,4.18,89665071.77033491,0.0
11024,0,181466833,2004-03-24,273807443.67310786,2004,6.21,0.0,29221712.238325283
11025,30000000,23400000,2004-05-01,35307246.37681159,2004,6.21,45265700.48309178,3768115.9420289854
11027,12000000,0,1981-03-20,0.0,1981,2.78,40446043.16546763,0.0
11056,10600000,12241855,2002-10-02,19742888.35628227,2002,5.81,17095008.605851978,2107031.8416523235
11062,0,0,1996-02-16,0.0,1996,4.42,0.0,0.0
11065,0,16017403,2001-08-31,26516442.77561837,2001,5.66,0.0,2829929.8586572437
11109,11000000,13300000,2004-10-22,20067793.880837355,2004,6.21,16597423.510466987,2141706.9243156197
11137,0,0,2004-03-28,0.0,2004,6.21,0.0,0.0
11152,8000000,22700000,2008-04-02,29623816.155988853,2008,7.18,10440111.420612812,3161559.888579387
11162,0,0,2004-09-03,0.0,2004,6.21,0.0,0.0
11176,0,76657000,1979-05-31,286165772.9083665,1979,2.51,0.0,30540637.450199205
11184,0,0,2004-09-04,0.0,2004,6.21,0.0,0.0
11191,0,0,1988-10-13,0.0,1988,4.11,0.0,0.0
11194,0,13885802,2003-09-05,21577108.580431174,2003,6.03,0.0,2302786.4013266996
11199,0,253625427,2007-03-02,345417187.6438953,2007,6.88,0.0,36864160.90116279
11229,3000000,0,1996-08-23,0.0,1996,4.42,6359728.50678733,0.0
11232,48000000,76019048,2001-12-25,125847787.94346288,2001,5.66,79462897.52650176,13430927.208480565
11308,7500000,0,1984-03-09,0.0,1984,3.36,20915178.57142857,0.0
11342,7000000,9094451,1989-06-01,21464736.99496221,1989,3.97,16521410.579345085,2290793.702770781
11353,55000000,98625775,1999-08-12,181914077.1161417,1999,5.08,101446850.39370078,19414522.637795277
11354,0,0,2005-01-23,0.0,2005,6.41,0.0,0.0
11359,45000000,0,1995-07-14,0.0,1995,4.35,96931034.48275861,0.0
11374,80000000,0,1999-03-26,0.0,1999,5.08,147559055.1181102,0.0
11382,0,0,1994-10-14,0.0,1994,4.18,0.0,0.0
11404,0,0,2006-04-30,0.0,2006,6.55,0.0,0.0
11446,800000,5034794,1995-05-24,10845062.018390803,1995,4.35,1723218.3908045976,1157423.9080459771
11457,18000000,0,2001-10-25,0.0,2001,5.66,29798586.572438158,0.0
11458,20000000,0,2002-11-21,0.0,2002,5.81,32254733.21858864,0.0
11467,0,138191428,2001-07-17,228772735.04593638,2001,5.66,0.0,24415446.64310954
11469,50000000,33422806,2001-11-21,55330687.67137808,2001,5.66,82773851.590106,5905089.399293286
11499,25000000,18593156,2008-10-15,24264327.537604455,2008,7.18,32625348.189415038,2589576.0445682453
11509,26000000,0,1985-07-10,0.0,1985,3.55,68625352.11267605,0.0
11531,0,0,2000-10-27,0.0,2000,5.39,0.0,0.0
11535,70000000,25852764,2002-02-08,41693700.28915662,2002,5.81,112891566.26506025,4449701.204819278
11546,10000000,126247,1994-06-09,282998.6578947368,1994,4.18,22416267.94258373,30202.63157894737
11564,4300000,0,1982-08-20,0.0,1982,2.94,13704421.768707482,0.0
11583,6000000,0,1979-01-25,0.0,1979,2.51,22398406.374501992,0.0
11588,8800000,72962,2004-01-15,110089.20128824476,2004,6.21,13277938.808373589,11749.114331723027
11598,600000,0,1977-08-10,0.0,1977,2.23,2521076.2331838566,0.0
11676,25000000,44480039,1997-07-18,90801299.65795207,1997,4.59,51034858.38779956,9690640.305010894
11817,52000000,37713879,2003-03-28,58603490.25373133,2003,6.03,80802653.3996683,6254374.626865671
11820,65000000,0,2003-12-19,0.0,2003,6.03,101003316.74958539,0.0
11826,5000000,0,2000-09-13,0.0,2000,5.39,8692022.263450835,0.0
11827,9300000,546545,1981-08-07,1842131.8884892086,1981,2.78,31345683.45323741,196598.92086330938
11887,11000000,252909177,2008-10-22,330049998.3969359,2008,7.18,14355153.203342617,35224119.35933148
11888,35000000,81000000,2002-01-18,130631669.535284,2002,5.81,56445783.13253012,13941480.206540449
11889,0,0,2001-12-14,0.0,2001,5.66,0.0,0.0
11891,0,0,2002-01-25,0.0,2002,5.81,0.0,0.0
11904,18000000,0,1985-12-04,0.0,1985,3.55,47509859.15492958,0.0
11908,1500000,208550,2006-04-27,298337.9389312977,2006,6.55,2145801.526717557,31839.69465648855
11934,25000000,2800000,1994-03-11,6276555.023923445,1994,4.18,56040669.85645933,669856.4593301436
11935,5000000,0,1977-12-10,0.0,1977,2.23,21008968.60986547,0.0
11954,25000000,0,1985-06-20,0.0,1985,3.55,65985915.49295775,0.0
